N,P,K,temperature,humidity,ph,rainfall,label
7,144,197,23.8494014,94.34814995,6.133220586,114.0512495,apple
42,25,38,24.68405003,30.44238232,7.66285408,93.8717314,jowar
80,28,45,31.44687706,31.09470092,6.54575876,72.50974887,jowar
107,71,55,29.42017919,83.96754496,6.088064451,117.229079,banana
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,blackgram
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
40,45,18,30.43683729,55.20522037,5.261285926,30.92014047,mothbeans
55,38,17,25.75373867,47.11621938,7.85653287,54.89375437,bajra
101,43,55,26.00606111,64.2152394,6.8875173,150.15248243,cotton
22,30,12,15.78144173,92.51077745,6.354006743999999,119.035002,orange
83,29,36,20.54921564,51.19704014,7.05374643,31.5449295,mustard
54,77,85,17.141861399999996,17.0662427,7.8292111439999985,83.74606679,chickpea
16,15,42,19.67832052,89.08935702,6.890784045,108.5468633,pomegranate
29,70,15,30.33499674,63.54718862,6.872594461,74.16699119,blackgram
118,65,119,30.62332172,73.62765804,6.84990984,130.52395539,banana
139,49,69,24.77717192,73.30402377,5.85336437,169.71762052,banana
111,88,55,29.44795403,78.34971537,5.505393832999999,96.45042585,banana
61,39,40,23.09383951,92.39893896,6.48571369,166.0718054,cardamom
60,58,51,42.07213781,92.92203105,6.840802254,165.7412972,papaya
104,73,46,29.1400919,80.1190228,6.28236237,90.45142867,banana
2,21,44,18.92157197,87.31290342,6.56893406,102.8013275,pomegranate
63,19,29,28.65050646,38.88719064,6.66178021,83.03576859,bajra
26,37,30,35.39986338,49.45962621,6.166173833999999,97.41054011,mango
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean
50,28,68,17.93422302,79.54617232,6.5716874,183.5590784,cardamom
22,59,23,27.32220619,51.27868781,4.371745575,36.5037914,mothbeans
147,59,62,26.49025071,71.01320251,6.93485475,182.310311,sugarcane
9,77,17,20.12373284,24.45202552,5.783425416,106.158201,kidneybeans
105,25,73,29.36897398,71.55558264,5.16134279,276.08344954,tea
39,77,21,22.99774444,60.24218572,4.603563116,159.689339,pigeonpeas
123,44,21,25.78544484,75.00539324,7.6411165689999985,91.39578861,cotton
14,67,15,19.56376468,24.67385131,5.690065688,139.2921004,kidneybeans
22,67,23,26.51158115,65.19055472,6.39160827,107.22891376,groundnut
83,40,29,24.50331743,50.40288484,6.79881457,27.56160239,mustard
68,52,49,24.42561272,92.27749066,6.577192175,63.35298768,papaya
47,24,39,34.15044696,28.35277409,7.22911378,39.52994303,bajra
87,21,110,30.33636419,94.3675066,6.19840281,215.36165137,coconut
94,44,49,26.22018659,65.67667519,5.93325157,223.24277383,coffee
48,24,31,32.01538483,37.88013961,5.73722316,112.93928057,jowar
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,jute
61,37,65,25.36933033,62.85706873,6.1879821,191.77489068,coffee
85,20,98,34.91470763,79.29232795,6.652958,268.99343192,coconut
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
31,58,15,28.31886863,60.19461399,6.167855382000001,45.36521251,lentil
93,49,20,24.53089758,52.56635925,6.73323173,61.83663448,wheat
95,24,61,31.07933864,82.18275597,5.91166919,330.09562826,coconut
74,46,43,25.52346792,77.08857394,6.07047808,253.58957041,cardamom
94,70,78,32.14917795,67.30996175,7.427772,82.27290258,cotton
157,47,56,33.5976913,73.09131771,7.82164638,166.49515264,sugarcane
52,37,46,18.84374431,76.94246579,6.41054206,178.49312992,cardamom
59,50,36,26.60663073,58.75925738,6.45393495,108.30187393,soybean
91,36,32,28.18298628,63.88513008,6.99131484,138.94275156,soybean
154,69,67,33.78709403,89.89846744,6.85705541,195.1524541,banana
31,29,26,28.22373428,47.40519056,5.024124683999999,97.76832322,mango
95,37,59,26.68664032,85.63445322,5.9895625,274.63910883,cardamom
25,22,25,33.56150184,45.53556603,5.977413802999999,95.70525913,mango
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
31,5,14,17.66545409,91.69865887,6.583411671,110.6857506,orange
70,69,51,24.02799092,52.10883442,7.94156145,65.84720089,cotton
115,47,45,25.57119353,73.89464229,5.68661693,292.04397593,tea
60,37,80,17.24558976,89.76587507,5.80858311,158.89193435,cardamom
144,76,42,28.8368233,73.28955028,6.14061303,236.47730393,sugarcane
79,27,67,25.63559661,78.59047986,5.30913172,243.92588475,cardamom
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice
172,66,61,28.0813104,75.00853328,7.09292173,145.68660172,sugarcane
121,51,84,29.70482365,83.9518591,7.37171468,209.40714554,turmeric
50,36,37,31.15584397,38.69405705,5.5951575,99.29982567,jowar
71,32,57,28.26310356,73.55447112,6.34579424,287.56848853,tea
90,29,21,29.31312217,32.02416239,5.99522267,70.31205001,jowar
121,45,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
59,60,84,19.03025305,18.66725565,7.690962337999999,94.70992037,chickpea
48,65,78,17.43732714,14.33847406,7.861128148,73.0926704,chickpea
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana
106,40,30,23.42611644,64.10651528,6.779984384,122.6847408,coffee
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram
98,34,62,21.63422666,91.84033492,4.55692843,221.44607859,tea
30,28,34,27.85255786,25.22627898,8.15960981,52.4469256,bajra
82,32,26,20.53580932,56.07550098,7.34707573,59.60003756,wheat
146,67,84,26.77268732,81.66380364,6.69128652,139.10071211,sugarcane
86,38,65,26.12826337,60.95281094,6.76275881,91.87417697,cotton
126,40,54,25.24852423,85.64758516,7.14739272,199.20263352,sugarcane
9,11,8,24.85903405,94.39000473,6.559236744,111.78037340000002,orange
144,69,66,32.69864446,87.68429913,7.37822008,221.09038085,banana
84,21,55,28.47090661,94.79453182,6.494251024,21.08484101,muskmelon
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,blackgram
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean
63,25,49,32.43552831,55.34493744,7.50344308,69.50492502,jowar
122,50,98,27.12700474,82.77491238,6.71726941,194.98280373,turmeric
48,67,22,29.80648909,59.44774902,7.22847172,103.03322435,groundnut
20,74,16,36.04353699,43.61444121,4.759490199,159.8938645,pigeonpeas
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,grapes
20,60,22,29.65052947,42.89833235,6.876572502999999,186.9226052,pigeonpeas
85,20,45,25.46702085,94.75138436,5.21169406,286.32168716,cardamom
57,22,35,13.53277771,43.5525332,7.10123919,34.20676884,mustard
144,50,71,26.99930948,73.83031074,6.20938865,187.56008874,banana
22,80,20,23.00884744,18.86880997,5.669560726,100.118612,kidneybeans
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice
28,136,200,23.06204373,92.39544055,6.245858905,114.7399101,apple
39,9,15,25.35467646,91.81183218,7.992041984,116.7555937,orange
118,21,34,24.38534644,64.72543073,7.234258375,119.6324109,coffee
119,62,85,29.39570103,78.97646201,6.04907977,160.96616187,turmeric
7,77,18,20.5591255,60.54880693,6.655918077999999,191.0895109,pigeonpeas
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea
34,21,42,18.75927679,89.93457597,6.648687273999999,111.0196744,pomegranate
108,22,46,26.17668721,86.72952049999998,6.121168559,53.33484977,watermelon
87,32,105,27.79244014,90.52836264,5.63967902,219.05989524,coconut
109,10,53,26.81938687,87.8274604,6.5517503060000015,46.06193778,watermelon
117,24,53,29.17220859,92.21405224,6.293486295,21.30290472,muskmelon
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
42,31,25,24.74833088,49.21392286,6.55079488,113.0131972,groundnut
28,68,19,34.63880966,61.38597868,7.69950698,72.43169115,blackgram
103,39,30,15.82400168,48.67181392,7.26873753,96.56356437,wheat
69,50,26,24.27336679,40.60080248,7.17223745,113.43820373,wheat
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,coffee
93,43,38,23.61475336,86.14290267,6.987332927000001,150.2355238,jute
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea
73,35,35,24.31214958,60.83774998,6.01714651,149.0286073,soybean
97,22,50,26.26028739,86.14585891,6.769893799999998,58.97878791,watermelon
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana
83,27,70,19.17686873,76.91071572,4.8196473,201.87343726,tea
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
70,20,78,26.3268,76.52832227,6.33780276,193.68100644,coffee
52,46,27,31.35055745,72.34528068,6.43744735,122.86040583,soybean
72,47,75,29.98684348,76.94133559,6.36454174,245.07198351,coconut
82,52,36,29.91462485,60.65459194,7.22723233,79.58855802,soybean
82,23,93,33.62524385,77.67463967,5.95912111,173.05338067,coconut
85,50,56,26.80870713,74.13573672,5.93690171,249.60370248,tea
54,35,52,30.2929548,70.79934969,7.24126532,158.85845549,soybean
87,46,54,23.36301994,69.50625544,5.56201278,218.58099664,turmeric
117,51,15,22.9535715,78.71555832,6.044556594,99.75336197,cotton
88,5,47,25.86475496,86.67468041,6.662244646,41.16554802,watermelon
135,55,86,29.49319921,73.74649826,6.98815922,154.19184405,banana
83,21,76,28.35289361,82.45816146,4.60296558,287.23744613,tea
118,28,73,30.01790058,88.99318109,5.5241783,130.32739948,coconut
51,46,105,27.22250586,88.79493568,5.43849869,231.78435208,coconut
40,11,44,24.45840036,86.10874614,6.322396027000001,111.3779693,pomegranate
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
72,55,91,20.7460435,77.51145825,5.76049337,199.98983166,turmeric
69,49,67,21.87311171,86.02939351,6.37012445,222.69780629,cardamom
142,66,83,26.13442562,82.5184863,6.25684135,148.20822887,sugarcane
32,47,45,31.77335371,47.82791353,6.12318029,110.58885476,groundnut
108,54,63,22.00240807,79.93767045,6.09531065,184.70963016,turmeric
104,52,60,21.18516843,82.4961482,6.47685146,151.11034276,turmeric
38,59,40,23.16025778,51.51376588,6.3178512,95.8614003,groundnut
55,33,45,20.54070108,75.01668805,5.731295,279.21941155,cardamom
81,45,28,30.84930534,73.90774985,7.30096037,86.37416584,soybean
102,45,35,23.62139822,60.57816023,6.76273163,78.20229769,wheat
87,14,48,29.69238699,92.58862544,6.606033244,29.1102594,muskmelon
91,31,51,22.1337071,72.07697603,7.3107209,152.1948157,soybean
109,22,43,22.98390161,63.58522018,6.48939529,235.6999368,coffee
119,26,93,33.58885887,79.55301491,5.98214157,243.2796252,coconut
20,29,27,25.09897688,92.36099489,6.047044342,157.7592626,coconut
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice
80,43,113,26.20201126,84.7948744,5.65093881,132.69254737,coconut
30,25,28,36.86025402,39.02402423,6.1129576,76.11283749,bajra
60,55,33,26.64400505,66.40302972,7.07398234,50.75919042,groundnut
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
116,28,34,23.44372334,60.39523266,6.42321105,122.2103248,coffee
105,35,55,26.07204593,69.10416554,6.76997613,167.30297493,cotton
16,65,19,27.61204997,69.29786244,7.043160241,42.72374404,lentil
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,mango
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
137,40,49,30.81639666,76.56414325,7.90115257,296.33095213,sugarcane
101,75,50,26.59386409,81.40740301,6.242528277999999,109.9825551,banana
35,131,203,22.42776057,93.91722423,5.893490899,102.7230739,apple
72,43,79,30.94437669,91.86004049,7.18906463,248.4451934,coconut
82,40,45,26.21312799,81.70476368,6.667633355,180.1237765,jute
95,45,55,24.6573965,89.82832323,6.20879105,240.63685396,cardamom
34,6,27,25.84726298,90.92669463,5.8607404810000014,147.8888994,coconut
120,58,60,33.30658854,72.41216058,6.03290016,139.89278454,banana
39,44,44,24.71528326,64.61072863,6.38352723,132.11576936,groundnut
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,pigeonpeas
53,33,37,27.09730857,60.71883903,6.15034279,87.37931902,groundnut
78,34,31,28.18004113,52.65884993,5.70617457,81.14034002,bajra
85,31,39,24.67046553,45.51147803,7.39389267,57.11290751,mustard
47,80,77,17.18248372,16.42891834,7.561108006,72.85017344,chickpea
60,46,53,24.48620746,92.98254537,6.761953186,183.49095,papaya
96,47,44,19.9616356,82.70583478,5.18266538,285.1140618,cardamom
126,53,77,29.61409775,86.97228577,6.59880441,174.5501885,banana
132,41,22,24.29144926,81.02453404,7.810865753,90.41694635,cotton
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize
88,20,36,29.82218041,32.60147049,6.87328017,68.35657528,jowar
93,26,75,21.01846838,88.52537817,5.16887574,183.05860432,coffee
103,48,101,28.98947377,84.99647749,5.28539717,140.91613949,coconut
122,53,65,34.47151703,72.04875497,7.55562336,213.24934377,sugarcane
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,mothbeans
8,15,33,28.97318719,98.09861043,5.50158009,213.9011021,coconut
6,37,17,28.08657178,80.35005927,6.760694227999999,38.14476781,mungbean
68,27,40,27.56879459,79.51691909,6.72389884,175.28142136,cardamom
48,29,30,34.87569546,46.76399848,6.17912104,43.54549881,bajra
162,68,80,34.61407895,73.93938,7.48285163,124.80935834,sugarcane
82,35,44,26.96656378,78.21047693,6.239011,169.8391177,jute
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
0,65,24,28.49584395,62.44616219,7.841496029,53.14531023,lentil
50,30,52,21.81458871,57.72651596,7.10062941,101.66737496,soybean
131,56,68,25.73170835,59.90536188,7.44493216,109.13721192,cotton
71,42,20,20.38201819,42.33736722,7.74537917,57.66746604,mustard
142,56,65,24.12314209,93.28261603,6.63706477,223.64947505,banana
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram
104,28,49,29.99666922,88.95485776,5.87426462,251.29694146,tea
120,56,75,34.84798039,76.3042406,6.57153256,211.35052724,sugarcane
90,46,49,23.65213699,63.82518274,6.38248639,110.74175196,soybean
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,coffee
50,40,32,14.17203199,56.05811625,7.32488823,69.57971597,mustard
92,42,69,24.06979609,86.17782963,5.42097802,193.15483551,coffee
33,24,30,26.42512701,51.86527385,7.27531968,48.42558846,bajra
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate
40,34,30,15.76611058,46.51552066,7.69034163,40.94745409,mustard
8,28,37,23.88404783,86.20613842,6.082571701,108.3121789,pomegranate
88,38,46,26.46171941,55.53255915,6.06212418,71.65263845,soybean
94,35,60,27.7227337,86.91461651,6.1566852,203.68159464,tea
76,33,28,31.20585373,44.88698153,8.28548425,43.24169309,bajra
35,18,33,26.86166717,27.37797269,7.95340363,83.91418898,bajra
80,26,73,23.14057664,60.4068999,5.64569886,124.06352219,coffee
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
115,41,86,31.81348951,81.36137641,5.95287789,244.3718648,banana
114,94,53,26.33544853,76.8532006,6.190757458999999,118.6858263,banana
9,10,10,22.3551049,93.52211892,6.010391864,101.5164589,orange
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,blackgram
68,25,45,15.94486021,43.88549117,6.67435792,53.7547112,mustard
47,46,33,24.85436836,44.77901364,6.09708904,78.72230539,jowar
4,13,6,15.63211033,94.25966183,7.5611432239999985,101.4705704,orange
108,27,116,28.67812006,79.61381747,7.49108147,135.97114164,coconut
81,39,69,28.10143644,73.83033797,7.10121694,175.7714164,turmeric
78,38,70,18.66051697,60.106511,5.32931796,151.70443141,coffee
36,56,83,18.89780215,19.76182946,7.4526709,69.09512477,chickpea
38,16,19,26.92445749,38.4102018,6.10664879,63.41038531,bajra
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean
72,44,22,14.20538792,38.63893104,7.16471177,32.85777048,mustard
40,140,195,14.97846952,80.49979873,6.2943956760000015,71.63437433,grapes
137,79,60,24.92668895,88.77963112,6.85057522,205.58140075,sugarcane
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea
86,30,55,20.99837622,75.47646864,6.17587342,228.05837223,tea
84,28,68,27.14716001,76.54250284,5.27972207,212.23847533,coconut
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean
67,43,34,28.81274084,43.69306631,5.93487326,55.25422475,jowar
71,39,42,18.82944667,44.15935047,7.32850011,46.48891807,mustard
38,14,37,21.80523051,94.63612858,6.658402594,102.6488846,pomegranate
4,36,22,27.60887393,86.13316408,7.012740397000001,43.80041104,mungbean
67,48,48,19.58844333,80.6590328,5.72444442,223.43660579,cardamom
62,34,92,25.95280702,72.88198381,5.4112301,332.08325958,coconut
97,8,52,24.9103226,86.97190046,6.237861736,49.48575692,watermelon
32,11,31,25.06871967,93.31410447,6.205931637999999,134.84190690000003,coconut
105,18,35,23.52648086,68.44030686,6.743417121,171.8839938,coffee
110,14,51,27.02415146,91.66737633,6.085444691,21.26034986,muskmelon
48,62,47,25.34756111,93.02871078,6.803094965,174.40123369999995,papaya
53,48,25,31.91298205,33.70974342,7.67687854,73.71138199,jowar
109,40,47,32.51625872,84.47974427,6.08559099,177.91781712,sugarcane
41,52,48,29.75353338,49.34716122,6.0529361,81.53612641,groundnut
18,5,11,20.87947369,90.93756231,6.251586885,102.4550786,orange
83,15,49,28.92705913,91.39356832,6.438008152999999,23.20076686,muskmelon
66,36,22,26.0296577,52.6517477,6.99242006,71.47953516,jowar
30,61,18,27.14911056,67.02664337,6.157782589,52.50812701,lentil
75,41,45,18.46105212,40.42657752,6.51751812,83.90511738,mustard
74,49,38,23.31410442,71.4509053,7.4880144039999985,164.49703730000004,jute
38,72,21,28.23416057,49.4421345,5.902103172,186.5008581,pigeonpeas
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean
31,121,201,23.15791104,90.34396882,5.731535257999999,110.712841,apple
80,64,68,22.76389839,45.76794149,6.0183752,101.63575342,cotton
64,48,32,19.15556961,44.91005482,7.28028577,114.66476249,wheat
99,35,93,23.74182706,85.51047776,7.35549112,124.64203354,turmeric
111,5,50,27.59350075,91.79742953,6.399891457000001,24.84266123,muskmelon
50,47,48,24.63676897,90.61964344,6.712772332999999,218.2299187,papaya
58,32,26,29.61374832,38.87503029,7.83117308,78.12043733,bajra
87,48,57,29.13971688,88.27428699,5.50053011,238.43059929,tea
120,59,79,30.93509834,74.33952221,7.47556683,215.77954656,banana
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
22,37,20,27.62749466,86.49366929,6.605733067999999,39.26137642,mungbean
22,133,201,23.81995682,80.12211649,6.00299607,67.27398640000001,grapes
91,43,40,31.02634708,55.70957102,5.51200167,156.15230001,cotton
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice
8,6,33,28.27804288,93.64761266,6.095261012999999,171.9457959,coconut
81,33,70,19.35865962,82.80173141,6.21312111,243.06050454,coffee
87,21,52,27.350629600000005,94.29119509999998,6.067665497999999,27.21244021,muskmelon
45,38,29,22.68085325,59.58017965,6.90927336,62.33455183,mustard
80,39,69,23.62558173,62.78885425,6.38815996,166.44474881,coffee
102,25,50,28.20480805,92.91440379,6.099662369,20.36001144,muskmelon
58,25,23,30.82662532,45.20453064,7.76590674,50.47493734,jowar
67,40,54,28.47378692,64.44090487,6.94413488,81.33985843,soybean
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,blackgram
7,126,203,16.76201707,82.00335557,5.662140095,73.28712806,grapes
16,7,8,22.79196751,90.60901895,6.420457311,116.5084074,orange
84,47,25,23.91029978,57.42701002,6.26251689,64.60623701,wheat
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,grapes
47,65,44,28.34433118,48.11792902,7.42739098,78.67592561,groundnut
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,cotton
39,36,22,29.34317422,60.50320928,9.072011412,34.03335472,mothbeans
4,69,19,19.25100056,47.70351758,5.374358869,149.063196,pigeonpeas
75,37,39,17.41036258,41.91525981,7.03587444,82.92889807,wheat
55,48,72,25.74075195,82.23579485,6.20585232,155.77609206,cardamom
107,34,32,26.77463708,66.4132686,6.78006386,177.7745075,coffee
52,50,24,31.33871766,51.51329233,6.12874065,119.19132179,groundnut
9,48,20,29.66461594,84.28187572,6.377568542000001,56.09542002,mungbean
107,59,39,15.94138893,45.0046024,6.81024987,69.44617223,wheat
111,41,53,27.57757886,68.1338266,7.51625199,130.15068655,cotton
129,69,53,22.85419244,45.61716022,6.73729119,175.73722249,cotton
18,20,26,31.66524687,51.98594645,5.435840509,89.98024312,mango
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas
24,48,44,22.40922436,59.95735734,7.09942691,65.78118125,groundnut
81,25,49,29.86895762,93.25103208,6.076459669,26.26243014,muskmelon
52,22,66,25.13509313,80.39158459,6.47595333,202.85236213,cardamom
120,58,39,22.27052771,52.52483759,6.99317071,100.54082229,wheat
81,31,72,27.75170241,78.3371392,6.36345119,215.1533392,coconut
91,51,62,29.95545404,52.94951111,7.01587649,96.50357631,cotton
37,55,82,19.45591848,18.02235902,8.423873703,78.44910564,chickpea
